team_id,form_points
1,11.0
2,13.0
3,13.0
4,15.0
5,4.0
6,9.0
7,12.0
8,13.0
9,15.0
10,15.0
11,6.0
12,15.0
13,13.0
14,6.0
15,13.0
16,8.0
17,11.0
18,7.0
19,11.0
20,7.0
21,10.0
22,15.0
23,8.0
24,13.0
25,12.0
26,15.0
27,10.0
28,15.0
29,5.0
30,8.0
31,15.0
32,13.0
64,
385,
767,9.0
768,12.0
769,8.0
770,7.0
771,6.0
772,10.0
773,9.0
774,10.0
775,12.0
776,7.0
777,13.0
778,10.0
996,
1090,15.0
1091,3.0
1092,4.0
1093,0.0
1094,3.0
1095,4.0
1096,1.0
1097,2.0
1098,12.0
1099,6.0
1100,1.0
1101,1.0
1102,3.0
1103,0.0
1104,3.0
1105,8.0
1106,5.0
1107,0.0
1108,10.0
1109,3.0
1110,1.0
1111,11.0
1112,4.0
1113,10.0
1114,1.0
1115,0.0
1116,6.0
1117,6.0
1118,11.0
1489,5.0
1490,12.0
1491,6.0
1492,7.0
1493,7.0
1494,0.0
1495,4.0
1496,2.0
1497,1.0
1499,7.0
1500,10.0
1501,13.0
1502,13.0
1503,13.0
1504,13.0
1505,7.0
1506,6.0
1507,6.0
1508,12.0
1509,8.0
1510,3.0
1511,7.0
1512,6.0
1513,4.0
1514,4.0
1515,0.0
1516,10.0
1517,2.0
1518,1.0
1519,12.0
1520,3.0
1521,10.0
1522,3.0
1523,1.0
1524,6.0
1525,7.0
1526,8.0
1527,1.0
1528,3.0
1529,5.0
1530,10.0
1531,11.0
1532,13.0
1533,13.0
1534,4.0
1535,0.0
1536,12.0
1537,5.0
1538,12.0
1539,1.0
1540,4.0
1542,0.0
1543,6.0
1545,1.0
1546,8.0
1547,7.0
1548,4.0
1549,6.0
1550,4.0
1551,10.0
1552,12.0
1553,2.0
1554,1.0
1555,7.0
1556,8.0
1557,5.0
1558,0.0
1560,5.0
1561,1.0
1562,1.0
1563,15.0
1564,5.0
1565,8.0
1566,4.0
1567,0.0
1568,10.0
1569,7.0
1570,4.0
1571,3.0
2379,7.0
2380,4.0
2381,0.0
2382,9.0
2383,7.0
2384,4.0
2385,5.0
2386,
2388,0.0
2995,3.0
4460,10.0
4672,5.0
4673,2.0
4767,0.0
5158,3.0
5159,2.0
5160,7.0
5161,2.0
5162,3.0
5163,9.0
5164,0.0
5165,6.0
5166,4.0
5167,6.0
5168,10.0
5170,3.0
5527,2.0
5528,1.0
5529,8.0
5530,7.0
5531,3.0
5532,3.0
5533,3.0
5534,1.0
5535,0.0
5536,3.0
5538,9.0
5539,3.0
5541,3.0
8050,1.0
8117,
8118,
8167,
8169,
8171,
8174,0.0
8175,1.0
8177,
8179,
8180,4.0
8181,0.0
8182,
8183,
8184,
8185,3.0
8187,0.0
8188,
8189,
8193,1.0
8194,
8195,3.0
8196,
8199,0.0
8200,
8208,0.0
8209,
8210,0.0
8211,1.0
8212,1.0
8213,
8214,2.0
8215,1.0
8217,1.0
8219,
8221,1.0
8223,4.0
8224,
8225,
8226,
8227,6.0
8228,1.0
8229,
8231,
10172,
10176,
10177,3.0
10178,0.0
10179,0.0
10184,0.0
10187,3.0
10192,7.0
10287,0.0
10293,
10299,
10310,3.0
10333,3.0
10335,0.0
10339,3.0
10342,4.0
10354,7.0
10357,
10358,
10361,3.0
10370,0.0
10372,0.0
10373,
10932,3.0
10934,1.0
10935,0.0
10937,5.0
10938,4.0
10941,
10943,0.0
10945,3.0
10950,6.0
10952,3.0
10954,1.0
10955,3.0
10958,0.0
10959,4.0
10963,10.0
10964,3.0
10965,0.0
10982,
10984,
11017,3.0
11027,3.0
11034,3.0
11037,3.0
11038,0.0
11049,6.0
16198,0.0
16500,3.0
16620,
16621,3.0
17262,1.0
17871,0.0
17883,3.0
17939,0.0
17950,4.0
17952,6.0
17960,1.0
17962,0.0
17973,3.0
19071,3.0
19072,0.0
19073,13.0
19627,
20546,
20547,
20551,
20785,0.0
21057,1.0
21059,
21302,3.0
21458,0.0
21459,
21460,3.0
21462,
21463,3.0
21464,0.0
21465,3.0
21466,9.0
21467,4.0
21468,
21469,
21470,
21471,
21472,1.0
21473,0.0
21474,4.0
21475,3.0
21476,3.0
21477,4.0
21478,
21479,
21480,
21481,1.0
21503,
21504,
22255,0.0
22340,1.0
22341,0.0
22425,3.0
22428,4.0
22429,
22430,3.0
22435,3.0
22580,
22724,
22925,3.0
22930,0.0
23256,0.0
23257,1.0
23258,4.0
23259,3.0
23260,0.0
23263,
