team_a,team_b,h2h_home_win_rate,h2h_matches_played,home_team_id
1,2,0.0,2.0,1
1,3,0.5,0.0,3
1,10,0.5,0.0,10
1,14,0.5,0.0,1
1,25,0.5,0.0,25
1,31,0.5,0.0,1
1,767,0.0,1.0,767
1,768,0.0,1.0,1
1,772,0.0,2.0,1
1,773,0.5,0.0,1
1,774,0.5,0.0,1
1,776,0.5,0.0,776
1,1095,0.0,1.0,1095
1,1102,0.5,0.0,1
1,1105,0.0,1.0,1
1,1107,1.0,1.0,1
1,1109,0.5,0.0,1
1,1116,0.0,1.0,1116
2,3,0.5,0.0,3
2,9,1.0,1.0,9
2,10,0.5,0.0,10
2,18,0.0,1.0,18
2,21,0.5,0.0,2
2,24,1.0,1.0,2
2,25,1.0,2.0,25
2,28,0.5,0.0,28
2,31,0.5,0.0,2
2,768,1.0,1.0,768
2,772,1.0,1.0,2
2,775,0.5,0.0,775
2,1096,0.0,1.0,1096
2,1102,0.5,0.0,2
2,1108,0.5,0.0,2
2,1116,1.0,1.0,2
2,1118,0.5,0.0,1118
2,2383,0.5,0.0,2
2,5529,0.5,0.0,2
3,9,0.5,0.0,9
3,24,0.0,1.0,24
3,26,0.5,0.0,26
3,27,0.5,2.0,3
3,31,0.5,0.0,3
3,32,0.5,0.0,32
3,768,0.5,0.0,3
3,770,0.0,1.0,770
3,778,0.5,0.0,3
3,1093,1.0,1.0,3
3,1098,1.0,1.0,3
3,1105,0.5,0.0,3
3,1108,0.0,1.0,1108
3,1109,0.0,1.0,1109
3,5529,0.5,0.0,3
4,14,0.5,0.0,4
4,1100,0.5,0.0,1100
4,1511,0.5,0.0,1511
4,1530,0.5,0.0,4
4,1542,0.5,0.0,1542
4,1565,0.5,0.0,4
4,1569,0.5,0.0,1569
4,2388,0.5,0.0,4
4,5538,0.5,0.0,4
5,14,0.5,0.0,5
5,15,1.0,1.0,15
5,18,0.5,0.0,5
5,21,0.5,0.0,21
5,24,0.5,0.0,5
5,27,0.5,0.0,27
5,772,0.5,0.0,772
5,773,0.0,1.0,5
5,778,0.5,0.0,5
5,1091,0.0,1.0,5
5,1096,1.0,1.0,5
5,1101,0.0,2.0,1101
5,1111,0.0,1.0,5
5,1114,0.5,0.0,5
5,4673,0.5,0.0,5
6,7,1.0,1.0,6
6,8,0.5,2.0,6
6,9,0.5,0.0,9
6,10,0.5,0.0,10
6,13,0.5,0.0,6
6,15,0.5,0.0,6
6,16,0.5,0.0,16
6,17,0.5,0.0,6
6,26,0.5,0.0,26
6,29,0.5,0.0,6
6,30,1.0,1.0,6
6,31,0.5,0.0,31
6,1530,0.5,0.0,1530
6,2379,0.0,1.0,2379
6,2380,0.0,2.0,2380
6,2381,0.5,0.0,2381
6,2382,0.0,1.0,2382
6,2383,1.0,1.0,6
6,2384,0.5,0.0,2384
7,8,0.5,2.0,7
7,11,0.5,0.0,7
7,12,0.5,0.0,12
7,16,0.5,0.0,16
7,17,0.5,0.0,17
7,26,0.0,1.0,7
7,27,0.5,0.0,27
7,29,0.5,0.0,29
7,30,0.0,1.0,7
7,1501,0.5,0.0,1501
7,1504,0.5,0.0,1504
7,2379,0.0,1.0,7
7,2380,0.0,1.0,2380
7,2381,0.5,2.0,7
7,2382,0.0,1.0,7
7,2383,0.5,0.0,2383
7,2384,0.5,0.0,2384
7,2388,0.5,0.0,7
7,5161,0.5,0.0,7
7,5164,0.5,0.0,7
8,9,0.5,0.0,9
8,11,0.5,0.0,8
8,12,0.5,0.0,12
8,16,0.5,0.0,16
8,17,0.5,0.0,17
8,25,0.5,0.0,25
8,26,0.0,1.0,26
8,29,0.5,0.0,8
8,30,1.0,1.0,8
8,774,0.5,0.0,8
8,1567,0.5,0.0,8
8,2379,1.0,1.0,8
8,2380,0.0,2.0,8
8,2381,0.5,2.0,8
8,2382,0.0,1.0,8
8,2383,0.0,1.0,8
8,2384,0.0,1.0,2384
9,10,0.5,0.0,9
9,12,0.5,0.0,12
9,14,0.0,1.0,9
9,15,1.0,1.0,9
9,21,0.0,1.0,21
9,25,0.5,0.0,9
9,768,0.5,0.0,9
9,771,0.5,0.0,9
9,777,1.0,1.0,9
9,778,0.5,0.0,778
9,1103,1.0,1.0,9
9,1104,0.0,2.0,1104
9,1110,0.5,0.0,9
9,1118,0.5,0.0,1118
10,13,0.5,0.0,10
10,14,1.0,2.0,10
10,18,0.5,0.0,10
10,20,0.5,0.0,10
10,21,0.5,0.0,21
10,767,0.5,0.0,767
10,776,1.0,1.0,10
10,778,0.0,1.0,778
10,1091,0.5,0.0,10
10,1092,0.0,1.0,1092
10,1099,0.0,1.0,1099
10,1110,1.0,1.0,10
10,1117,1.0,1.0,1117
10,1118,0.5,0.0,1118
10,2384,0.5,0.0,10
11,26,0.5,0.0,26
11,2380,0.5,0.0,11
11,2381,0.0,1.0,2381
11,2384,0.0,1.0,2384
11,5529,0.5,0.0,5529
12,25,0.5,0.0,25
12,28,0.5,0.0,12
12,29,0.5,0.0,12
12,30,0.5,0.0,12
12,1548,0.5,0.0,12
12,1564,0.5,0.0,12
12,5159,0.5,0.0,12
12,5529,0.5,0.0,12
13,1491,1.0,1.0,13
13,1492,0.5,0.0,13
13,1496,0.0,1.0,1496
13,1503,0.5,0.0,13
13,1505,0.5,0.0,13
13,1508,0.0,1.0,1508
13,1509,0.5,0.0,1509
13,1510,0.0,1.0,13
13,1516,0.5,0.0,13
13,1530,1.0,1.0,13
13,1532,0.5,0.0,13
13,1534,0.0,1.0,13
13,1569,0.5,0.0,1569
13,2382,0.5,0.0,2382
14,15,0.5,2.0,15
14,21,0.0,2.0,14
14,775,0.0,2.0,14
14,778,0.0,1.0,14
14,1091,0.5,0.0,1091
14,1092,1.0,1.0,14
14,1106,0.5,0.0,1106
14,1110,0.0,1.0,1110
14,1530,0.5,0.0,1530
14,1548,0.5,0.0,14
14,2384,0.5,0.0,2384
15,21,0.0,2.0,15
15,25,0.5,0.0,15
15,27,0.5,0.0,27
15,768,0.5,0.0,15
15,769,0.5,0.0,769
15,775,0.5,0.0,15
15,776,0.5,0.0,776
15,1091,0.0,1.0,1091
15,1101,0.5,0.0,15
15,1108,0.5,0.0,1108
15,1111,0.0,1.0,1111
16,20,0.5,0.0,16
16,23,0.5,0.0,23
16,25,0.5,0.0,16
16,26,0.5,0.0,26
16,1504,0.5,0.0,16
16,1530,0.5,0.0,16
16,1568,0.5,0.0,16
16,2379,0.5,0.0,2379
16,2381,0.5,0.0,16
16,2382,0.5,0.0,16
16,2384,0.0,1.0,16
16,2385,0.5,0.0,16
16,4673,0.5,0.0,16
16,5161,0.5,0.0,16
16,5529,0.5,0.0,16
17,23,0.5,0.0,23
17,27,0.5,0.0,17
17,28,0.5,0.0,17
17,30,0.5,0.0,17
17,767,0.5,0.0,767
17,1504,0.5,0.0,17
17,1542,0.5,0.0,17
17,1567,0.5,0.0,1567
17,5159,0.5,0.0,17
18,767,0.0,1.0,767
18,772,1.0,1.0,772
18,777,0.0,1.0,18
18,1096,0.0,1.0,1096
18,1109,0.0,1.0,1109
18,1111,0.0,1.0,18
18,1118,0.5,0.0,1118
18,4672,0.5,0.0,4672
