id,name
2381,Bolivia
2382,Ecuador
30,Peru
2379,Venezuela
2383,Chile
26,Argentina
8,Colombia
6,Brazil
7,Uruguay
2380,Paraguay
767,Wales
1569,Qatar
1118,Netherlands
10,England
28,Tunisia
24,Poland
2,France
12,Japan
1,Belgium
3,Croatia
9,Spain
1530,Cameroon
17,South Korea
27,Portugal
22,Iran
20,Australia
23,Saudi Arabia
5529,Canada
29,Costa Rica
1504,Ghana
14,Serbia
31,Morocco
1099,Finland
5,Sweden
2384,USA
5533,Grenada
2385,Jamaica
5167,Tahiti
25,Germany
4673,New Zealand
5160,Fiji
1560,Bangladesh
1545,Nepal
1537,India
1571,Indonesia
1538,Malaysia
1563,United Arab Emirates
1568,Uzbekistan
1547,Bahrain
1570,Kuwait
16,Mexico
1551,Lebanon
21466,England U18
19073,Portugal U18
5168,Trinidad and Tobago
5534,Mongolia
21458,Australia U18
5539,Puerto Rico
1511,Kenya
5535,Pakistan
1497,Mauritius
21475,Poland U16
1555,Philippines
5170,Vanuatu
17973,Romania U17
10354,Albania U19
10361,Estonia U19
1566,China
10943,Lebanon U23
10333,Finland U19
10952,Palestine U23
10192,Iraq U23
1535,Djibouti
21463,Bulgaria U18
8221,Scotland U21
1546,Singapore
21481,Wales U18
21477,Romania U18
10937,Iran U23
4767,Mação
21464,China U22
10932,China PR U23
4460,Hong Kong
10959,Tajikistan U23
16500,Hungary U21
8210,Montenegro U21
1542,Vietnam
8223,Slovakia U21
17960,Latvia U17
17962,Lithuania U17
17952,Finland U17
5161,Guatemala
1552,Oman
1543,Cambodia
1556,Myanmar
1557,Chinese Taipei
769,Hungary
1554,Kyrgyzstan
1531,South Africa
32,Egypt
13,Senegal
8175,Papua New Guinea
5163,New Caledonia
5165,Solomon Islands
4,Russia
1104,Georgia
1109,Montenegro
1532,Algeria
1529,Angola
1548,Jordan
1512,Mozambique
1105,FYR Macedonia
1507,Zambia
1490,Madagascar
8050,Somalia
1526,Libya
1101,Estonia
1565,Syria
1509,Guinea
1491,Mauritania
1501,Ivory Coast
1508,Congo DR
1506,Ethiopia
1520,Botswana
1510,Sudan
19,Nigeria
1090,Norway
1533,Cape Verde Islands
5530,Curaçao
2995,Eswatini
1525,Liberia
1117,Greece
1502,Burkina Faso
1500,Mali
1505,Niger
1522,Zimbabwe
1528,Burundi
1499,Sierra Leone
1106,Cyprus
1492,Gambia
1523,Chad
1515,Seychelles
1514,Rwanda
1495,Malawi
1518,Lesotho
1524,Comoros
1496,South Sudan
1534,Togo
1494,Sao Tome and Principe
1489,Tanzania
776,Rep. Of Ireland
775,Austria
1567,Iraq
1562,Palestine
1521,Equatorial Guinea
4672,Honduras
1513,Guinea-Bissau
1493,Namibia
21465,Czech Republic U18
21474,Norway U18
1112,Malta
8211,Netherlands U21
1527,Central African Republic
23259,Hungary U20
10342,Norway U19
1096,Azerbaijan
8227,Turkey U21
10372,Malta U19
778,Albania
21,Denmark
11017,Algeria U20
11038,Mauritania U20
19071,Italy U18
11037,Malawi U20
23256,Cyprus U18
23257,Georgia U18
1115,San Marino
5528,Belize
23258,Germany U18
22425,Belgium U18
22430,Germany U16
22435,Netherlands U18
22930,Tunisia U17
21057,Indonesia U20
10287,France U20
10945,Malaysia U23
5166,Sri Lanka
8208,Malta U21
1503,Gabon
16621,France U23
11049,Tunisia U20
10178,Mexico U23
22340,Croatia U18
1519,Uganda
1092,Latvia
10954,Qatar U23
10955,Saudi Arabia U23
5162,Guyana
770,Czechia
1091,Slovenia
1108,Scotland
1102,Luxembourg
19072,Morocco U18
22925,Paraguay U23
5164,Nicaragua
5159,El Salvador
5541,St. Vincent / Grenadines
1093,Gibraltar
15,Switzerland
774,Romania
768,Italy
773,Slovakia
1516,Benin
1094,Armenia
1100,Belarus
5538,Brunei
1114,Moldova
771,Northern Ireland
1517,Congo
11,Panama
777,Türkiye
772,Ukraine
1540,Bhutan
1095,Kazakhstan
1097,Lithuania
1111,Kosovo
18,Iceland
1098,Faroe Islands
1103,Bulgaria
1116,Israel
1110,Andorra
1107,Liechtenstein
1113,Bosnia & Herzegovina
1536,Tajikistan
1558,Laos
1564,Thailand
5527,Barbados
21473,Norway U16
17939,Austria U17
20785,Kosovo U19
10339,Latvia U19
10965,Yemen U23
10370,Lithuania U19
10184,UAE U23
21460,Austria U18
8214,Norway U21
21472,North Macedonia U18
10938,Jordan U23
10950,Oman U23
10963,Uzbekistan U23
10177,Korea Republic U23
10934,Hong Kong U23
8199,Iceland U21
8215,Poland U21
8180,Austria U21
2388,Cuba
17950,Estonia U17
8174,Cook Islands
1553,Afghanistan
1539,Turkmenistan
23260,Iceland U20
8195,Georgia U21
10964,Vietnam U23
11027,Egypt U20
11034,Kenya U20
21476,Poland U18
22428,Denmark U18
5536,St. Kitts and Nevis
22255,Italy U16
21302,Morocco U17
17262,China PR U20
10310,Germany U20
10935,India U23
5158,Bermuda
17883,United States U23
10187,Argentina U23
22341,Switzerland U18
17871,Dominican Republic U23
5532,Dominican Republic
5531,Dominica
1561,North Korea
1549,Maldives
1550,Yemen
